,Sentence,Slots
0,please type in the card holder s name name card holder name card form,"[3, 3, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3]"
1,please enter your zip code postal code card form,"[3, 3, 1, 2, 2, 2, 2, 2, 3]"
2,please type in the of your credit card number card number card number edit text card number,"[3, 3, 3, 3, 3, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2]"
3,please type in credit card s date card,"[3, 3, 3, 2, 2, 3, 2, 2]"
4,email email customer information india checkout checkout email,"[2, 2, 1, 3, 1, 3, 3, 2]"
5,first name first name checkout shipping address first name,"[2, 2, 2, 2, 3, 2, 2, 2, 2]"
6,last name last name checkout shipping address last name,"[1, 2, 1, 2, 3, 2, 2, 1, 2]"
7,address address checkout shipping address address,"[2, 2, 3, 2, 2, 2]"
8,apartment suite etc optional apartment suite etc optional checkout shipping address address,"[1, 1, 3, 3, 1, 1, 3, 3, 3, 2, 2, 2]"
9,city city checkout shipping address city,"[2, 2, 3, 2, 2, 2]"
10,pin code pin code checkout shipping address zip,"[2, 2, 2, 2, 3, 2, 2, 2]"
11,mobile number only mobile number only checkout shipping address phone,"[2, 2, 3, 2, 2, 3, 3, 2, 2, 2]"
12,please type in the card holder s name name card holder name,"[3, 3, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2]"
13,please enter your zip code postal code,"[3, 3, 1, 2, 2, 2, 2]"
14,please type in the of your credit card number card number card number edit text card number,"[3, 3, 3, 3, 3, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2]"
15,please type in credit card s date card card details,"[3, 3, 3, 2, 2, 3, 2, 2, 2, 3]"
16,email email email,"[2, 2, 2]"
17,password password password,"[2, 2, 2]"
18,name name name,"[2, 2, 2]"
19,email email email,"[2, 2, 2]"
20,password password password,"[2, 2, 2]"
21,email,[2]
22,password,[2]
23,username,[2]
24,email,[2]
25,password,[2]
26,email address edit text user info email email address error view email address error view,"[2, 2, 3, 3, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3]"
27,password user info password label main id main id,"[2, 1, 3, 2, 3, 3, 3, 3, 3]"
28,email address edit text input layout,"[2, 2, 3, 3, 3, 3]"
29,password edit text password password input layout,"[2, 3, 3, 2, 2, 3, 3]"
30,first name edit text input layout,"[2, 2, 3, 3, 3, 3]"
31,birthday optional edit text input layout form id,"[1, 3, 3, 3, 3, 3, 3, 3]"
32,first name user info form id error view telephone user info phone,"[2, 2, 1, 3, 3, 3, 2, 3, 1, 1, 3, 2]"
33,last name user info form id user info address line user info address,"[1, 2, 1, 3, 3, 3, 1, 3, 2, 3, 1, 3, 2]"
34,postal code user info form id error view error view,"[2, 2, 1, 3, 3, 3, 2, 3, 2, 3]"
35,telephone user info phone form id error view error view,"[1, 1, 3, 2, 3, 3, 2, 3, 2, 3]"
36,user info form id address line optional user info address address line user info address,"[1, 3, 3, 3, 2, 3, 3, 1, 3, 2, 2, 3, 1, 3, 2]"
37,address line user info address form id last name user info main,"[2, 3, 1, 3, 2, 3, 3, 1, 2, 1, 3, 3]"
38,address line optional user info address form id address line user info address main,"[2, 3, 3, 1, 3, 2, 3, 3, 2, 3, 1, 3, 2, 3]"
39,tag input attributes name number type tel label id tag form attributes name tag input attributes name type tel label id tag input attributes name type tel label id,"[3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3]"
40,mm tag input attributes name type tel label mm id tag form attributes name center panel center panel,"[3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3]"
41,tag input attributes name type text label name on card id tag form attributes name center panel mm tag input attributes name type tel label mm id,"[3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3]"
42,ap ra email or phone mobile number or email ap email login,"[3, 3, 2, 3, 2, 2, 2, 3, 2, 3, 2, 2]"
43,amazon password amazon password ap password password,"[1, 2, 1, 2, 3, 2, 2]"
44,house no,"[1, 1]"
45,apartment name,"[1, 2]"
46,street details to locate you,"[1, 3, 3, 3, 1]"
47,for easy reach out,"[3, 3, 3, 3]"
48,area details,"[3, 3]"
49,missing,[3]
50,nick name this address as,"[2, 2, 3, 2, 3]"
51,house no,"[1, 1]"
52,apartment name,"[1, 2]"
53,street details to locate you,"[1, 3, 3, 3, 1]"
54,for easy reach out,"[3, 3, 3, 3]"
55,area details,"[3, 3]"
56,missing,[3]
57,nick name this address as,"[2, 2, 3, 2, 3]"
58,contact number to say hello,"[1, 2, 3, 3, 3]"
59,enter first name,"[3, 2, 2]"
60,enter last name,"[3, 1, 2]"
61,full name address,"[1, 2, 2]"
62,phone number e g address address,"[2, 2, 3, 3, 2, 2]"
63,e g address,"[3, 3, 2]"
64,e g address address,"[3, 3, 2, 2]"
65,city ward town e g address address,"[2, 3, 2, 3, 3, 2, 2]"
66,go e g address address,"[3, 3, 3, 2, 2]"
67,building company name e g az building address address,"[1, 2, 2, 3, 3, 3, 1, 2, 2]"
68,unit room no e g address address,"[3, 1, 1, 3, 3, 2, 2]"
69,user id login user id login user input,"[1, 3, 2, 1, 3, 2, 1, 3]"
70,password login password login password input,"[2, 2, 2, 2, 2, 3]"
71,card number edit card number edit card number layout,"[2, 2, 3, 2, 2, 3, 2, 2, 3]"
72,mobile number on host,"[2, 2, 3, 1]"
73,house flat number,"[1, 2, 2]"
74,building flat name building flat name,"[1, 2, 2, 1, 2, 2]"
75,user selected area saved address area,"[1, 3, 3, 3, 2, 3]"
76,missing,[3]
77,action bar root,"[3, 3, 3]"
78,missing,[3]
79,missing,[3]
80,missing,[3]
81,missing,[3]
82,missing,[3]
83,missing,[3]
84,tag input attributes name type text label first name as shown on id first name name first name first name first tag form attributes name tag input attributes name type text label country code address home country id no server data address home country no server data tag input attributes name title type select one label title id option title no server data unknown type no server data,"[3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 1, 2, 2, 1, 1, 3, 1, 3, 3, 2, 1, 1, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3]"
85,tag input attributes name type text label last name as shown on id last name name last name last name last tag form attributes name tag input attributes name type select one label contact person id no server data unknown type no server data tag input attributes name email type email label email address email address id email email address email address email address,"[3, 3, 3, 2, 3, 3, 3, 1, 2, 3, 3, 3, 3, 1, 2, 2, 1, 2, 1, 2, 1, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 1, 1, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2]"
86,tag input attributes name type tel label date of birth dd mm id no server data unknown type no server data tag form attributes name tag input attributes name title type select one label title id option title no server data unknown type no server data tag input attributes name type select one label contact person id no server data unknown type no server data,"[3, 3, 3, 2, 3, 3, 3, 2, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 1, 1, 3, 1, 3, 3, 3, 3, 1, 3, 3]"
87,tag input attributes name type select one label contact person id no server data unknown type no server data tag form attributes name tag input attributes name type tel label mobile number phone home whole number id number phone home city and number phone home city and number phone home city and number tag input attributes name type text label first name as shown on id first name name first name first name first,"[3, 3, 3, 2, 3, 3, 3, 3, 1, 1, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 1, 3, 2, 3, 2, 2, 1, 2, 3, 2, 2, 1, 2, 3, 2, 2, 1, 2, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2]"
88,tag input attributes name email type email label email address email address id email email address email address email address tag form attributes name tag input attributes name type text label number optional id no server data unknown type no server data tag input attributes name type select one label contact person id no server data unknown type no server data,"[3, 3, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 1, 1, 3, 1, 3, 3, 3, 3, 1, 3, 3]"
89,tag input attributes name type text label country code address home country id no server data address home country no server data tag form attributes name tag input attributes name type text label last name as shown on id last name name last name last name last tag input attributes name title type select one label title id option title no server data unknown type no server data,"[3, 3, 3, 2, 3, 3, 3, 1, 2, 2, 1, 1, 3, 1, 3, 3, 2, 1, 1, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 1, 2, 3, 3, 3, 3, 1, 2, 2, 1, 2, 1, 2, 1, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3]"
90,tag input attributes name type tel label mobile number phone home whole number id number phone home city and number phone home city and number phone home city and number tag form attributes name tag input attributes name email type email label email address email address id email email address email address email address tag input attributes name type tel label date of birth dd mm id no server data unknown type no server data,"[3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 1, 3, 2, 3, 2, 2, 1, 2, 3, 2, 2, 1, 2, 3, 2, 2, 1, 2, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3]"
91,email address email,"[2, 2, 2]"
92,first name as shown on first name first name details section,"[2, 2, 3, 3, 3, 2, 2, 2, 2, 3, 3]"
93,last name as shown on last name details section,"[1, 2, 3, 3, 3, 1, 2, 3, 3]"
94,date of birth dd mm details section,"[2, 3, 1, 3, 3, 3, 3]"
95,mobile number number,"[2, 2, 2]"
96,country code,"[1, 2]"
97,edit profile external link edit profile external link section,"[3, 2, 3, 3, 3, 2, 3, 3, 3]"
98,edit profile first name edit profile first name edit profile layout edit profile layout,"[3, 2, 2, 2, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3]"
99,edit profile last name edit profile last name section,"[3, 2, 1, 2, 3, 2, 1, 2, 3]"
100,edit profile email edit profile email section edit profile layout,"[3, 2, 2, 3, 2, 2, 3, 3, 2, 3]"
